# OWASP ZAP Baseline Rules Configuration
# Format: rule_id	action	reason
# Actions: IGNORE, WARN, FAIL
# 
# This file configures which ZAP findings should be ignored, warned, or fail the build

10003	WARN	X-Content-Type-Options Header Missing
10010	WARN	Cookie No HttpOnly Flag
10011	WARN	Cookie Without Secure Flag
10015	WARN	Incomplete or No Cache-control and Pragma HTTP Header Set
10017	WARN	Cross-Domain JavaScript Source File Inclusion
10019	WARN	Content-Type Header Missing
10020	WARN	X-Frame-Options Header Not Set
10021	WARN	X-Content-Type-Options Header Missing
10023	WARN	Information Disclosure - Debug Error Messages
10024	WARN	Information Disclosure - Sensitive Information in URL
10025	WARN	Information Disclosure - Sensitive Information in HTTP Referrer Header
10027	WARN	Information Disclosure - Suspicious Comments
10028	WARN	Open Redirect
10029	WARN	Cookie Poisoning
10030	WARN	User Controllable Charset
10031	WARN	User Controllable HTML Element Attribute
10032	WARN	Viewstate Without MAC Signature
10033	WARN	Directory Browsing
10034	WARN	Heartbleed OpenSSL Vulnerability
10035	WARN	Strict-Transport-Security Header Not Set
10036	WARN	HTTP Server Response Header Scanner
10037	WARN	Server Leaks Information via "X-Powered-By"
10038	WARN	Content Security Policy Header Not Set
10039	WARN	X-Backend-Server Header Information Leak
10040	WARN	Secure Pages Include Mixed Content
10041	WARN	HTTP to HTTPS Insecure Transition in Form Post
10042	WARN	HTTPS to HTTP Insecure Transition in Form Post
10043	WARN	User Controllable JavaScript Event
10044	WARN	Big Redirect
10045	WARN	Source Code Disclosure
10048	WARN	Remote Code Execution
10049	WARN	Storable and Cacheable Content
10050	WARN	Retrieved from Cache
10051	WARN	Relative Path Confusion
10052	WARN	X-ChromeLogger-Data Header Information Leak
10054	WARN	Cookie Without SameSite Attribute
10055	WARN	CSP Scanner
10056	WARN	X-Debug-Token Information Leak
10057	WARN	Username Hash Found
10061	WARN	X-AspNet-Version Response Header Scanner
10062	WARN	PII Scanner
10096	WARN	Timestamp Disclosure
10097	WARN	Hash Disclosure
10098	WARN	Cross-Domain Misconfiguration
10099	WARN	Source Code Disclosure
10104	WARN	User Agent Fuzzer
10105	WARN	Weak Authentication Method
10106	WARN	HTTP Only Site
10107	WARN	Httpoxy - Proxy Header Misuse
10108	WARN	Reverse Tabnabbing
10109	WARN	Modern Web Application
10110	WARN	Dangerous JS Functions

